dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,294.0,[ 5  7  9 11 13],"[0.04451880068178042, 0.048167160594363476, 0.05189699828421989, 0.056457349548761374, 0.05979032241117545]",[0.04391653 0.04877901 0.05275891 0.05616871 0.05917479],$\phi$,dfa (short)
Trace,294.0,[ 5  7  9 11 13],"[0.07175416496675417, 0.08682038035537186, 0.09330577662214813, 0.10290145452540184, 0.1098121554248363]",[0.07287106 0.08437157 0.09413047 0.1027272  0.11047968],$\phi$,mean (short)
Artificial,294.0,[ 5  7  9 11 13],"[0.07034256454283119, 0.08619750910592516, 0.10116823216785475, 0.10925079861585113, 0.12530911979375425]",[0.07052605 0.0859814  0.09969648 0.11220253 0.12380204],$\phi$,dfa (short)
Artificial,294.0,[ 5  7  9 11 13],"[0.14846828542677618, 0.19377028516701122, 0.240318963008689, 0.2757491044058661, 0.3057546539124084]",[0.14984716 0.19388611 0.23503068 0.27406917 0.31146996],$\phi$,mean (short)
White Noise,294.0,[ 5  7  9 11 13],"[0.4987208482456162, 0.6250431903251603, 0.6789939489112615, 0.7776299989005969, 0.8227787119422595]",[0.50773902 0.60498165 0.68957781 0.76554373 0.83512884],$\phi$,dfa (short)
White Noise,294.0,[ 5  7  9 11 13],"[0.7516007549795947, 0.8320619123027844, 0.9292435244385828, 1.0082671160860854, 1.0526488426713636]",[0.74681687 0.8446749  0.92604255 0.996606   1.05943269],$\phi$,mean (short)
Trace,297.0,[ 5  7  9 11],"[0.08800225299990719, 0.08494707225078833, 0.09328202555398098, 0.09671531940270697]",[0.08556332 0.08951399 0.09258333 0.09510955],$\phi$,dfa (short)
Trace,297.0,[ 5  7  9 11],"[0.11844945614838022, 0.11787480883323954, 0.11495899667926887, 0.1155753638465516]",[0.11861838 0.11711243 0.1160001  0.11511952],$\phi$,mean (short)
Artificial,297.0,[ 5  7  9 11],"[0.08802353304226056, 0.10384150816198057, 0.11342471218274165, 0.11923785956122576]",[0.08930247 0.10175784 0.11218144 0.12126607],$\phi$,dfa (short)
Artificial,297.0,[ 5  7  9 11],"[0.1267721487734991, 0.13167802825213532, 0.13531107957619368, 0.13958168710301902]",[0.12658489 0.13179535 0.13582653 0.13913372],$\phi$,mean (short)
White Noise,297.0,[ 5  7  9 11],"[0.6615430708813133, 0.7118668380650756, 0.7772677354515183, 0.8008079591428992]",[0.66023087 0.718924   0.76614162 0.80606126],$\phi$,dfa (short)
White Noise,297.0,[ 5  7  9 11],"[0.873222091976761, 0.8861382190952676, 0.9095821366688542, 0.9366588170597695]",[0.86787212 0.89386071 0.91377828 0.93000035],$\phi$,mean (short)
Trace,298.0,[ 5  7  9 11],"[0.08969865301966233, 0.10551482931981289, 0.1121869258565068, 0.11988511554587697]",[0.09100108 0.10275868 0.11252122 0.12097828],$\phi$,dfa (short)
Trace,298.0,[ 5  7  9 11],"[0.12194180252307028, 0.14300854283775344, 0.15387707009348728, 0.1596825266660334]",[0.12412694 0.13939694 0.15201552 0.16290659],$\phi$,mean (short)
Artificial,298.0,[ 5  7  9 11],"[0.08772677594737535, 0.09307840181134545, 0.11149735609335443, 0.12173136522745742]",[0.08517666 0.09859333 0.10997562 0.12000065],$\phi$,dfa (short)
Artificial,298.0,[ 5  7  9 11],"[0.10790936199752865, 0.1234714717702334, 0.12586276790988446, 0.1330465329398601]",[0.10968855 0.1194185  0.12724487 0.1338608 ],$\phi$,mean (short)
White Noise,298.0,[ 5  7  9 11],"[0.6501884251928437, 0.6784971435257086, 0.8029122491985643, 0.8242699035523213]",[0.63764674 0.71302612 0.77508522 0.82849472],$\phi$,dfa (short)
White Noise,298.0,[ 5  7  9 11],"[0.8261771717374212, 0.8064850608266732, 0.8683268511487956, 0.8928926695651569]",[0.80882456 0.83928903 0.86278947 0.88202581],$\phi$,mean (short)
Trace,300.0,[5 7 9],"[0.06271547908752027, 0.0771900066974167, 0.0812912575451054]",[0.06377443 0.07422554 0.0831342 ],$\phi$,dfa (short)
Trace,300.0,[5 7 9],"[0.08324007289867676, 0.11532702408331451, 0.1162200702053046]",[0.08648218 0.10546777 0.12232022],$\phi$,mean (short)
Artificial,300.0,[5 7 9],"[0.05148376280890183, 0.06821739538006512, 0.0782445589831841]",[0.05209691 0.06635437 0.07949468],$\phi$,dfa (short)
Artificial,300.0,[5 7 9],"[0.09374242522023625, 0.12743869669663344, 0.14176385717664572]",[0.09562696 0.12164211 0.14559241],$\phi$,mean (short)
White Noise,300.0,[5 7 9],"[0.3394969549794138, 0.427920174156792, 0.43548408398545063]",[0.34815222 0.4034516  0.45041238],$\phi$,dfa (short)
White Noise,300.0,[5 7 9],"[0.5398289480694677, 0.5908323760306504, 0.6377297723818028]",[0.53904654 0.59284006 0.63649258],$\phi$,mean (short)
Trace,303.0,[ 5  7  9 11],"[0.05134678973962749, 0.06222873001536511, 0.07306094669587242, 0.0715686568207257]",[0.05258997 0.0613141  0.06876183 0.0753532 ],$\phi$,dfa (short)
Trace,303.0,[ 5  7  9 11],"[0.05890215483116613, 0.07572387437732554, 0.08447538190310773, 0.08521761934336254]",[0.06121514 0.07201505 0.08130711 0.08958038],$\phi$,mean (short)
Artificial,303.0,[ 5  7  9 11],"[0.06695105937923013, 0.09151717735051977, 0.10646784365734067, 0.1048159124297882]",[0.07044894 0.08609626 0.10001094 0.11271961],$\phi$,dfa (short)
