index division length width area intensity CMx CMy
352 0 73.152 13.4378 983 152.27 644.959 477.116
353 0 77.1518 13.2336 1021 149.784 644.052 475.819
354 0 78.2993 13.3207 1043 150.765 645.488 474.743
355 0 82.2478 13.2526 1090 152.283 645.58 473.106
356 0 84.131 13.0867 1101 148.432 645.067 471.53
357 0 89.1591 13.2235 1179 152.875 646.189 469.861
358 0 89.188 13.5108 1205 155.836 646.92 468.381
359 1 47.0917 11.7855 555 149.295 645.746 490.258
360 0 47.0822 12.3189 580 148.095 643.978 489.579
361 0 49.041 12.5201 614 157.024 644.862 489.254
362 0 52.016 12.4 645 157.397 643.572 487.902
363 0 52.0623 12.7347 663 158.946 643.517 487.733
364 0 56.1974 12.3493 694 158.87 642.909 487.21
365 0 57.0839 12.7181 726 157.875 643.296 486.645
366 0 58.1303 12.9364 752 160.751 643.326 485.585
367 0 59.0752 13.1358 776 160.117 642.532 484.722
368 0 61.0875 12.8832 787 162.47 643.16 484.372
369 0 63.1179 13.1658 831 165.96 643.46 482.686
370 0 64.0676 13.1268 841 162.859 645.551 482.604
371 0 68.0999 12.8781 877 164.722 646.883 481.414
372 0 69.0946 12.9243 893 161.578 645.81 480.345
373 0 70.0838 13.1414 921 165.443 646.517 479.023
374 0 73.0552 13.0723 955 168.01 642.842 477.891
375 0 74.0504 13.4368 995 162.693 643.731 476.339
376 0 77.0993 13.113 1011 162.492 642.338 475.749
377 0 80.2775 13.416 1077 158.901 643.214 474.079
378 0 83.3105 13.4917 1124 159.19 642.994 472.343
379 0 86.2356 13.2892 1146 169.07 642.586 471.853
380 0 88.2069 13.3776 1180 166.269 641.851 470.571
381 0 92.1241 13.5795 1251 166.082 645.499 467.974
382 1 49.0587 11.9245 585 159.632 643.526 489.598
383 0 49.1234 12.092 594 155.626 644.468 488.266
384 0 51.0903 12.2333 625 162.757 644.426 488.259
385 0 53.0288 12.5215 664 151.956 645.111 487.114
386 0 55.1026 12.3588 681 161.132 644.849 486.482
387 0 56.0675 12.6098 707 157.153 644.115 485.044
388 0 58.0757 12.5181 727 162.402 644.818 485.012
389 0 59.1768 12.8091 758 157.037 642.4 484.732
390 0 60.0814 13.0656 785 157.864 642.004 483.529
391 0 62.0809 13.2086 820 163.322 644.507 483
392 0 65.1955 12.9917 847 168.311 645.429 481.674
393 0 65.1849 13.4847 879 160.95 646.436 480.92
394 0 68.0634 13.2083 899 168.892 644.986 480.253
395 0 71.1904 12.9933 925 164.022 644.717 478.99
396 0 69.1141 13.7164 948 162.392 644.816 478.674
397 0 73.1293 13.2368 968 165.902 645.028 477.786
398 0 75.3276 13.3019 1002 167.021 645.72 476.942
399 0 78.2242 13.538 1059 162.89 643.578 475.253
400 0 82.3441 13.5529 1116 163.668 643.689 474.022
401 0 83.2405 13.1667 1096 163.859 646.081 473.347
402 0 87.2192 13.4259 1171 163.005 645.548 472
403 0 91.1416 13.5613 1236 161.791 645.987 470.854
