distance,correlations,dataset,old_var,young_var
6.0,-0.029260070972609145,physical units,division_ratio,added_length
6.0,-0.0685937463409782,physical units,division_ratio,generationtime
6.0,0.013854842536832456,physical units,division_ratio,length_birth
6.0,-0.016634638391041644,physical units,division_ratio,length_final
6.0,0.06597054768239557,physical units,division_ratio,growth_rate
6.0,-0.006731929026363396,physical units,added_length,fold_growth
6.0,-0.02650527780369366,physical units,added_length,division_ratio
6.0,0.08620624569178519,physical units,added_length,added_length
6.0,0.05381896574640757,physical units,added_length,generationtime
6.0,0.15751616921352574,physical units,added_length,length_birth
6.0,0.15543883257775573,physical units,added_length,length_final
6.0,-0.09631267817430826,physical units,added_length,growth_rate
6.0,0.036498072016666175,physical units,generationtime,fold_growth
6.0,-0.07409859074134437,physical units,generationtime,division_ratio
6.0,0.06954142354909361,physical units,generationtime,added_length
6.0,0.2084271118733158,physical units,generationtime,generationtime
6.0,0.05637277822372956,physical units,generationtime,length_birth
6.0,0.08745529084149094,physical units,generationtime,length_final
6.0,-0.268428459620299,physical units,generationtime,growth_rate
6.0,-0.007853335996930475,physical units,length_birth,fold_growth
6.0,-0.013520956823239021,physical units,length_birth,division_ratio
6.0,0.13139696430978579,physical units,length_birth,added_length
6.0,0.03709081940613421,physical units,length_birth,generationtime
6.0,0.238226115508743,physical units,length_birth,length_birth
6.0,0.23592290450109585,physical units,length_birth,length_final
6.0,-0.07484057378130621,physical units,length_birth,growth_rate
6.0,-0.009660401593603403,physical units,length_final,fold_growth
6.0,-0.02866067478680556,physical units,length_final,division_ratio
6.0,0.1403181857873184,physical units,length_final,added_length
6.0,0.06338756281519536,physical units,length_final,generationtime
6.0,0.2553860305931195,physical units,length_final,length_birth
6.0,0.25246977271425747,physical units,length_final,length_final
6.0,-0.11799667618805593,physical units,length_final,growth_rate
6.0,-0.04645931359829495,physical units,growth_rate,fold_growth
6.0,0.0827501792066728,physical units,growth_rate,division_ratio
6.0,-0.09045513896519894,physical units,growth_rate,added_length
6.0,-0.2666975394749958,physical units,growth_rate,generationtime
6.0,-0.07215154430567493,physical units,growth_rate,length_birth
6.0,-0.11312604710775231,physical units,growth_rate,length_final
6.0,0.3475430550470415,physical units,growth_rate,growth_rate
7.0,0.015527662295882321,physical units,fold_growth,fold_growth
7.0,-0.03676656139210455,physical units,fold_growth,division_ratio
7.0,0.023703629908731864,physical units,fold_growth,added_length
7.0,0.04791859882984547,physical units,fold_growth,generationtime
7.0,0.010063327806305047,physical units,fold_growth,length_birth
7.0,0.024898938858792276,physical units,fold_growth,length_final
7.0,-0.0555549879227083,physical units,fold_growth,growth_rate
7.0,-0.009305514686887995,physical units,division_ratio,fold_growth
7.0,0.05493735855915205,physical units,division_ratio,division_ratio
7.0,0.0037511511899523905,physical units,division_ratio,added_length
7.0,-0.06249094832629364,physical units,division_ratio,generationtime
7.0,0.022183278858571704,physical units,division_ratio,length_birth
7.0,0.014961914264433659,physical units,division_ratio,length_final
7.0,0.0836454102751539,physical units,division_ratio,growth_rate
7.0,0.005161690955194318,physical units,added_length,fold_growth
7.0,-0.03862243742942148,physical units,added_length,division_ratio
7.0,0.09167795149882697,physical units,added_length,added_length
7.0,0.06355186547771002,physical units,added_length,generationtime
7.0,0.14494592201363513,physical units,added_length,length_birth
7.0,0.15305261052912336,physical units,added_length,length_final
7.0,-0.0951857484580211,physical units,added_length,growth_rate
7.0,0.026693247088645622,physical units,generationtime,fold_growth
7.0,-0.0871902554877249,physical units,generationtime,division_ratio
7.0,0.06088780672526732,physical units,generationtime,added_length
7.0,0.1969595127880715,physical units,generationtime,generationtime
7.0,0.05390341667061482,physical units,generationtime,length_birth
7.0,0.07897447394522134,physical units,generationtime,length_final
7.0,-0.26532742496607653,physical units,generationtime,growth_rate
7.0,-0.012225762577447282,physical units,length_birth,fold_growth
7.0,-0.005000155005854246,physical units,length_birth,division_ratio
7.0,0.11639912367014822,physical units,length_birth,added_length
7.0,0.027505867575912325,physical units,length_birth,generationtime
7.0,0.224007860326345,physical units,length_birth,length_birth
7.0,0.21572205539764744,physical units,length_birth,length_final
