variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,generationtime,"$\phi$, $\tau$",0.011070692653988298,0.5774648712960632,model,,0,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0042234775737024725,0.22030328270754335,physical_units,,1,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.0035157912444745867,0.1833892423852027,trace_centered,,1,0.0,0.0,SP
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,1,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0042234775737024725,0.22030328270754335,model,,1,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.003304883709448659,0.1723879711571336,physical_units,,2,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.002597197380220773,0.13547393083479298,trace_centered,,2,0.0,0.0,SP
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,2,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.003304883709448659,0.1723879711571336,model,,2,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.003179210562293436,0.16583266066161392,physical_units,,3,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.00247152423306555,0.1289186203392733,trace_centered,,3,0.0,0.0,SP
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,3,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.003179210562293436,0.16583266066161392,model,,3,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.0026591660130679444,0.13870631291872634,physical_units,,4,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.0019514796838400587,0.10179227259638571,trace_centered,,4,0.0,0.0,SP
