dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,15.0,[ 5  9 13 17 21 25 29 33],"[0.5345186696855013, 0.776094474726488, 0.8984227979951964, 0.9779174447601515, 1.0348178000537076, 1.0548126820694685, 1.0818064828135936, 1.0965179851624496]","[0.59006305 0.73206322 0.83779353 0.92443982 0.99895482 1.06493969
 1.12453324 1.17912322]",$f$,dfa (short)
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.42114414843934667, 0.755841616101122, 1.0318161370549195, 1.2571783804483851, 1.4326968491118792, 1.5447457215044795, 1.6285086062860998, 1.7154495526995144]","[0.46902501 0.72442823 0.95084558 1.15951781 1.35565982 1.5422462
 1.72118198 1.89378251]",$f$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.4912816115117157, 0.7132318005380887, 0.8710337945132345, 0.9999231012397033, 1.0841559314859317, 1.1235326016942648, 1.1295751784812922, 1.1373586332660504]","[0.53389069 0.69667255 0.8228759  0.929144   1.02242789 1.10640913
 1.18331275 1.25460328]",$f$,dfa (short)
Trace,17.0,[ 5  9 13],"[0.47098131114058817, 0.7289298891599112, 0.9371811781682255]",[0.47258669 0.72251315 0.94229254],$f$,dfa (short)
Shuffled,17.0,[ 5  9 13],"[0.5320800398736062, 0.5960215913402848, 0.6545471555203657]",[0.5302126  0.60149168 0.65087897],$f$,dfa (short)
Trace,18.0,[ 5  9 13],"[0.3784335580482119, 0.6148986136709065, 0.7897633614228938]",[0.38158089 0.60180666 0.80028842],$f$,dfa (short)
Shuffled,18.0,[ 5  9 13],"[0.4327336461434073, 0.8134373799937715, 0.9789271079087215]",[0.44703543 0.74753376 1.0311513 ],$f$,dfa (short)
Trace,45.0,[ 5  9 13 17],"[0.42804301356177404, 0.8410228334166107, 1.1207877209168422, 1.3664636209697718]",[0.44614179 0.78051727 1.10751347 1.42959231],$f$,dfa (short)
Shuffled,45.0,[ 5  9 13 17],"[0.4824105675927824, 0.6635024378067282, 0.7698510522579539, 0.7522791190016034]",[0.5017689  0.63022943 0.72682662 0.8065138 ],$f$,dfa (short)
Trace,46.0,[ 5  9 13 17],"[0.4203032766902713, 0.7863055666535538, 1.0333652985395092, 1.2202250462536648]",[0.43773467 0.73335929 1.01279021 1.28174225],$f$,dfa (short)
Shuffled,46.0,[ 5  9 13 17],"[0.41931775348339123, 0.6659988143358002, 0.7336913178781258, 0.7717191630282016]",[0.44510684 0.59842199 0.72015405 0.824313  ],$f$,dfa (short)
Trace,47.0,[ 5  9 13],"[0.44033944250185547, 0.7612638178236304, 0.9997290373581248]",[0.44514408 0.7400971  1.01722209],$f$,dfa (short)
Shuffled,47.0,[ 5  9 13],"[0.43819322087036794, 0.6435119976418189, 0.7898028962914876]",[0.44061691 0.63435455 0.7967972 ],$f$,dfa (short)
