timeA	lengthA	cellareaA	meanfluorescenceA	fluorescenceA
10.8	5.075217192	3.359375	34113.48837	114600
10.85	5.280710836	3.46875	31708.25225	109988
10.9	2.091387888	1.640625	33321.44762	54668
10.95	2.085952022	1.59375	33681.56863	53680
11	2.130105522	1.625	33331.69231	54164
11.05	2.225935231	1.671875	34234.61682	57236
11.1	2.128222025	1.6875	30449.77778	51384
11.15	2.293239869	1.8125	33968.55172	61568
11.2	2.326898367	1.9375	31155.6129	60364
11.25	2.467597535	1.953125	34828.288	68024
11.3	2.50732048	2.03125	33957.41538	68976
11.35	2.610358087	2.078125	34099.96992	70864
11.4	2.631202793	2.21875	31605.1831	70124
11.45	2.842531271	2.265625	34106.26207	77272
11.5	2.911903362	2.328125	32956.99329	76728
11.55	2.965436374	2.375	33541.05263	79660
11.6	3.073655103	2.5	33321.6	83304
11.65	3.178164452	2.484375	31496.05031	78248
11.7	3.210796303	2.484375	33735.6478	83812
11.75	3.271919158	2.6875	30856.93023	82928
11.8	3.243925562	2.703125	33703.21387	91104
11.85	3.306420679	2.734375	34004.11429	92980
11.9	3.434279519	2.875	33285.56522	95696
11.95	3.457471095	2.875	33037.91304	94984
12	3.548658304	2.953125	32107.00529	94816
12.05	3.667171925	2.9375	34008.51064	99900
12.1	3.770112598	2.9375	34339.40426	100872
12.15	3.840542166	3.03125	33043.79381	100164
12.2	3.968690839	3.09375	34046.70707	105332
12.25	4.091919256	3.109375	34790.27136	108176
12.3	4.199356564	3.09375	34986.66667	108240
12.35	4.427080054	3.1875	34566.27451	110180
12.4	4.422787291	3.15625	35064.39604	110672
12.45	4.72258131	3.1875	33883.60784	108004
12.5	1.945276964	1.53125	34398.04082	52672
12.55	1.972719912	1.65625	30273.20755	50140
12.6	1.896368239	1.53125	34442.44898	52740
12.65	1.891086126	1.546875	31764.68687	49136
12.7	1.895081392	1.46875	35793.70213	52572
12.75	1.901297643	1.578125	34240.63366	54036
12.8	1.97185483	1.515625	35074.63918	53160
12.85	1.98939072	1.484375	35643.28421	52908
12.9	2.026390615	1.703125	31288.36697	53288
12.95	2.12090462	1.71875	34459.92727	59228
13	2.069900964	1.71875	34557.67273	59396
13.05	2.172772382	1.796875	32333.91304	58100
13.1	2.191772439	1.765625	35085.59292	61948
13.15	2.212393995	1.828125	34706.59829	63448
13.2	2.346050094	1.84375	35725.01695	65868
13.25	2.240895058	1.859375	34252.36975	63688
13.3	2.417922719	2	34350	68700
13.35	2.428012957	2.03125	33579.32308	68208
13.4	2.469946867	2.03125	35424.49231	71956
13.45	2.389727291	2.078125	34696.66165	72104
13.5	2.508676655	2.09375	35864.83582	75092
13.55	2.501068476	2.140625	35912.87591	76876
13.6	2.53263538	2.109375	35650.37037	75200
13.65	2.59113268	2.171875	37263.65468	80932
13.7	2.659698333	2.171875	37746.18705	81980
13.75	2.674764381	2.171875	38258.18705	83092
13.8	2.606849685	2.125	40837.64706	86780
13.85	2.735832644	2.125	41498.35294	88184
13.9	2.775424329	2.265625	37527.83448	85024
13.95	2.880569362	2.34375	41760.42667	97876
14	2.815539245	2.296875	41590.42177	95528
14.05	2.956370142	2.296875	41334.42177	94940
14.1	3.032338287	2.421875	42240	102300
14.15	3.12409409	2.40625	42077.09091	101248
14.2	3.295158267	2.46875	40657.01266	100372
14.25	3.352481368	2.59375	41337.83133	107220
14.3	3.583891834	2.734375	36422.21714	99592
14.35	3.791040603	2.8125	40497.77778	113900
14.4	4.013652088	2.75	37681.45455	103624
14.45	1.790897312	1.453125	39677.24731	57656
14.5	1.864088175	1.46875	39941.44681	58664
14.55	1.907141104	1.5625	38364.16	59944
14.6	1.990186047	1.515625	38632.24742	58552
14.65	2.169685886	1.609375	37714.01942	60696
14.7	2.297479176	1.75	35844.57143	62728
14.75	2.235752126	1.84375	34681.49153	63944
14.8	2.298109301	1.828125	34560	63180
14.85	2.447700291	1.953125	31295.488	61124
14.9	2.448973314	1.921875	33719.15447	64804
14.95	2.559430421	2.09375	33478.68657	70096
15	2.618858353	2.1875	30202.51429	66068
15.05	2.704928072	2.234375	32665.95804	72988
15.1	2.830568724	2.21875	32858.14085	72904
15.15	2.858907492	2.296875	32071.40136	73664
15.2	2.939030284	2.484375	31478.33962	78204
15.25	3.123230665	2.34375	31460.69333	73736
15.3	3.262156078	2.53125	28243.75309	71492
15.35	3.343752744	2.5	30108.8	75272
15.4	3.428945632	2.78125	29148.04494	81068
15.45	3.468755709	2.90625	28934.88172	84092
15.5	3.585619081	2.953125	28143.74603	83112
15.55	3.666393264	2.90625	26823.56989	77956
15.6	3.583017637	2.796875	28609.07263	80016
15.65	3.765417729	2.921875	28402.31016	82988
15.7	3.874098761	2.9375	26335.31915	77360
15.75	3.98449164	2.875	28801.3913	82804
15.8	4.162139028	3.03125	28053.1134	85036
15.85	4.427554812	3.21875	28479.37864	91668
15.9	4.630792519	3.46875	27280.14414	94628
15.95	4.768068371	3.484375	27831.67713	96976
16	4.923361257	3.625	27059.86207	98092
16.05	5.097190278	3.703125	27103.59494	100368
16.1	5.392602276	3.546875	27576.95154	97812
16.15	2.289715964	1.859375	26593.88235	49448
16.2	2.323780863	1.8125	26994.75862	48928
16.25	2.326649129	1.84375	26897.35593	49592
16.3	2.430735782	1.84375	26172.74576	48256
16.35	2.450176577	1.8125	26599.72414	48212
16.4	2.501719154	1.859375	26028.10084	48396
16.45	2.583135069	1.984375	26087.81102	51768
16.5	2.687605947	2.15625	25316.17391	54588
16.55	2.808277528	2.203125	25425.70213	56016
16.6	2.818056066	2.265625	25531.14483	57844
16.65	2.901852449	2.296875	25138.5034	57740
16.7	3.026963911	2.296875	25882.12245	59448
16.75	2.998603288	2.234375	26446.76923	59092
