dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Artificial,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.20958090980935445, 0.23628725259984107, 0.26717727614657977, 0.2817087851368439, 0.29208208700860305, 0.3093142402817615, 0.3209283193797169, 0.3314199561939055, 0.3444616248643544, 0.355029305865727, 0.3650336624256013, 0.3757879530029004, 0.3839383600996162, 0.39197898271615417, 0.4012832032843467, 0.40878940963128324, 0.41637388214536897]","[0.21312515 0.23858189 0.25956021 0.27762794 0.29362458 0.30805847
 0.32126361 0.33347254 0.34485452 0.35553697 0.36561854 0.37517731
 0.38427633 0.39296725 0.40129304 0.40928984 0.41698841]",$\phi$,mean (short)
White Noise,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.519891160063504, 0.651445252831027, 0.7174892451581372, 0.7665935064780505, 0.8138903936375138, 0.8679858464109408, 0.9251074929837223, 0.9900284992701012, 1.0515350201293268, 1.110233770814787, 1.1772160519113113, 1.231030610827802, 1.2702230981951272, 1.3128108551425424, 1.3454995529372553, 1.372184253562273, 1.4062390899350985]","[0.52359459 0.61834517 0.70013955 0.77315357 0.83971113 0.90126318
 0.95878754 1.01298017 1.0643573  1.11331432 1.16016202 1.20514995
 1.24848208 1.29032765 1.33082895 1.37010692 1.40826543]",$\phi$,dfa (short)
White Noise,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.8471470454498039, 1.0232310500710355, 1.1628990912983135, 1.2957729479657607, 1.4241384005379947, 1.5323858857669248, 1.6222084827833938, 1.7230607850383632, 1.7991229124685841, 1.8728761600028516, 1.9502456283381056, 2.004366352744956, 2.0546424973511135, 2.104371233572723, 2.1415714640475403, 2.1815057108549776, 2.222058662905354]","[0.88073006 1.03600566 1.16959014 1.28851991 1.39669974 1.49656212
 1.58974323 1.67740578 1.76041094 1.83941752 1.91494277 1.98740157
 2.0571327  2.12441704 2.18949049 2.25255348 2.31377797]",$\phi$,mean (short)
Trace,7.0,[ 5  7  9 11 13],"[0.19991874550647476, 0.2765851360697781, 0.3905694092068489, 0.4071418634363092, 0.4740206216006221]",[0.20573076 0.27934434 0.35104263 0.4212942  0.4903872 ],$\phi$,dfa (short)
Trace,7.0,[ 5  7  9 11 13],"[0.24019971677555219, 0.3552705794575462, 0.44030764191330163, 0.46138661608601395, 0.5374231302046235]",[0.25465883 0.33452585 0.41012553 0.48258342 0.55257557],$\phi$,mean (short)
Artificial,7.0,[ 5  7  9 11 13],"[0.1042191310038546, 0.11106703677995736, 0.13716548040061577, 0.14322538003685195, 0.1536456284773871]",[0.10188489 0.11789912 0.13148168 0.14344229 0.15422503],$\phi$,dfa (short)
Artificial,7.0,[ 5  7  9 11 13],"[0.1362660319071533, 0.15865224959236374, 0.17679314923874362, 0.17675003844652723, 0.18487987010835016]",[0.14009513 0.1557325  0.16854055 0.17951987 0.18920351],$\phi$,mean (short)
White Noise,7.0,[ 5  7  9 11 13],"[0.5150539147731154, 0.677831979210616, 0.7989790194496121, 0.9072380705956491, 1.0042678749117182]",[0.52484511 0.66303255 0.78949424 0.90758093 1.01924978],$\phi$,dfa (short)
White Noise,7.0,[ 5  7  9 11 13],"[0.8777099933649277, 1.0695525008611377, 1.1603865677101122, 1.2085036046860753, 1.2164523533812632]",[0.91498002 1.02690484 1.11934579 1.19909832 1.26980789],$\phi$,mean (short)
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.11859416102465177, 0.14677074952021396, 0.15566474602051464, 0.1571170569420784, 0.1597815573172869, 0.16057992207914995, 0.1638691526785847, 0.16436512369223527, 0.16524200918276244, 0.1677190869968416, 0.16676005336624591, 0.16639813901158165]","[0.13326295 0.14049316 0.14614824 0.15082675 0.15483554 0.15835414
 0.16149718 0.16434254 0.16694568 0.16934759 0.17157944 0.17366553]",$\phi$,dfa (short)
Trace,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.15743044256131966, 0.17599191947852993, 0.17984895226917952, 0.18544571629142664, 0.18476519216841802, 0.18651390854574718, 0.18886589666620124, 0.18669539374593003, 0.18706344493216884, 0.18868021912909652, 0.1868635936611206, 0.18751658505355423]","[0.16788049 0.17251858 0.17606622 0.17895127 0.18138903 0.18350364
 0.18537339 0.18705091 0.18857336 0.18996795 0.19125524 0.19245114]",$\phi$,mean (short)
Artificial,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.09575357662237183, 0.11476814275737235, 0.13604499970635045, 0.15759609355470647, 0.1719855146172599, 0.18277461330213196, 0.1890219203988931, 0.19356402046833554, 0.19520176508231823, 0.19755424582479925, 0.20088397614802087, 0.20292799253082813]","[0.10350079 0.12035428 0.13470927 0.14739137 0.15885498 0.16938128
 0.1791584  0.18831938 0.19696238 0.20516217 0.21297732 0.22045462]",$\phi$,dfa (short)
Artificial,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.1475375453123529, 0.1724634939149809, 0.19490648429440538, 0.21173610737953438, 0.22184791096596146, 0.22861003016785914, 0.23336354249906247, 0.238404264755167, 0.24186604982477375, 0.24654092749193174, 0.24968208958535643, 0.25081631069169835]","[0.15834018 0.17525996 0.18906673 0.20086818 0.21125259 0.22057387
 0.22906331 0.23688121 0.24414376 0.25093812 0.25733154 0.26337712]",$\phi$,mean (short)
White Noise,8.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.4882558856558297, 0.6519778888422795, 0.7878498096506755, 0.9339760949641742, 1.0314124039784662, 1.0976106448478706, 1.1149839266258288, 1.1354403685066514, 1.1437337463815178, 1.1578305690014647, 1.1710013373268042, 1.183465357155043]","[0.56771787 0.67205511 0.76231191 0.84300864 0.91666527 0.98485733
 1.04864777 1.10879392 1.16585796 1.22027084 1.27237152 1.32243234]",$\phi$,dfa (short)
